college02,race,parentrelations,urbanrural,marijuana_anydrug,y_arrestedafter2002,nshot_summary_text
"not enrolled, some college",white,"biological mother, marital status unknown",Unknown,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological mother, other parent present",urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,Unknown,Unknown,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,hispanic,anything else,Unknown,marijuana_anydrug,False,"current education status is enrolled in a 2-year college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",hispanic,"biological mother, marital status unknown",Unknown,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,asian or pacific islander,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is asian or pacific islander, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",black,Unknown,Unknown,,False,"current education status is not enrolled, no high school degree, no GED, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",hispanic,both biological parents,urban,,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"not enrolled, no high school degree, no GED",hispanic,anything else,urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological mother, marital status unknown",urban,marijuana,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana"
enrolled in a 2-year college,hispanic,both biological parents,urban,,False,"current education status is enrolled in a 2-year college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"enrolled in grades 1-12, not a high school graduate",white,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,white,"biological dad, marital status unknown",urban,marijuana_anydrug,False,"current education status is enrolled in a 2-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
