college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
enrolled in a 4-year college,155,4,both biological parents,60,False,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 60"
"not enrolled, high school degree",205,0,"biological mother, marital status unknown",70,False,"current education status is not enrolled, high school degree, and weight in pounds is 205, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, high school degree",195,2,Unknown,74,True,"current education status is not enrolled, high school degree, and weight in pounds is 195, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 74"
"not enrolled, high school degree",135,0,Unknown,64,False,"current education status is not enrolled, high school degree, and weight in pounds is 135, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64"
"not enrolled, high school degree",220,2,"biological mother, marital status unknown",70,False,"current education status is not enrolled, high school degree, and weight in pounds is 220, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, high school degree",180,1,both biological parents,70,False,"current education status is not enrolled, high school degree, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, high school degree",237,4,both biological parents,72,False,"current education status is not enrolled, high school degree, and weight in pounds is 237, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, no high school degree, no GED",165,0,Unknown,71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71"
enrolled in a 2-year college,162,2,"biological mother, marital status unknown",71,False,"current education status is enrolled in a 2-year college, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, high school degree",210,1,both biological parents,69,False,"current education status is not enrolled, high school degree, and weight in pounds is 210, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, high school degree",250,2,both biological parents,77,False,"current education status is not enrolled, high school degree, and weight in pounds is 250, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 77"
"not enrolled, no high school degree, no GED",156,0,"biological mother, marital status unknown",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 156, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",185,1,"other adults, biological parent status unknown, not group quarters",72,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 185, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 72"
